Date,Open,High,Low,Close,Volume
07/03/2025,"317.99","318.45","312.76","315.35","58,042,301"
07/02/2025,"312.63","316.83","303.82","315.65","119,483,695"
07/01/2025,"298.46","305.89","293.21","300.71","145,085,703"
06/30/2025,"319.90","325.58","316.60","317.66","76,695,078"
06/27/2025,"324.51","329.34","317.50","323.63","89,067,047"
06/26/2025,"324.61","331.05","323.61","325.78","80,440,914"
06/25/2025,"342.70","343.00","320.40","327.55","119,845,102"
06/24/2025,"356.17","356.26","340.44","340.47","114,736,203"
06/23/2025,"327.54","357.54","327.48","348.68","190,716,797"
06/20/2025,"327.95","332.36","317.78","322.16","108,688,000"
06/18/2025,"317.31","329.32","315.45","322.05","95,137,688"
06/17/2025,"326.09","327.26","314.74","316.35","88,282,672"
06/16/2025,"331.29","332.05","326.41","329.13","83,925,859"
06/13/2025,"313.97","332.99","313.30","325.31","128,964,305"
06/12/2025,"323.08","332.56","316.86","319.11","105,127,508"
06/11/2025,"334.40","335.50","322.50","326.43","122,611,398"
06/10/2025,"314.94","327.83","310.67","326.09","151,256,500"
06/09/2025,"285.96","309.83","281.85","308.58","140,908,891"
06/06/2025,"298.83","305.50","291.14","295.14","164,747,703"
06/05/2025,"322.49","324.55","273.21","284.70","292,818,688"
06/04/2025,"345.10","345.60","327.33","332.05","98,912,078"
